lon,lat,name,address,pname,cityname,business_area,type
103.800239,31.035621,彭州市宏顺废品回收站,"利济村九组19号,上庭瓦有限业公司对面",四川省,成都市,,生活服务;物流速递;物流仓储场地
103.986585,30.984094,成都市鸿复剑运输服务有限公司,[],四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.832557,31.161267,顺丰速运,鼓浪屿路与崇德路交叉路口南侧,四川省,成都市,,生活服务;物流速递;物流速递
103.780504,31.101721,顺丰速运,磁峰镇蟠江路63号65号,四川省,成都市,,生活服务;物流速递;物流速递
103.968846,30.984719,新邦物流,天彭街道爱国小区爱国南路311号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.927543,30.980170,菜鸟驿站(成都彭州天人小区天人路59号店),天彭街道天人路59号,四川省,成都市,,生活服务;物流速递;物流速递
103.933609,30.981429,菜鸟驿站(成都彭州柳河店),天彭街道绣城路南段109号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.953690,30.987550,菜鸟驿站(成都彭州航利星海湾北区店),天彭街道朝阳中路242号鑫和兴副食,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.943390,30.976050,菜鸟驿站(成都彭州外南街89号店),天彭街道外南街89号,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.103515,30.947010,四川浩润供应链管理服务有限公司,蒙阳镇兴农路228号1栋1号,四川省,成都市,,生活服务;物流速递;物流速递
103.861181,30.968314,天地华宇,彭温路,四川省,成都市,,生活服务;物流速递;物流速递
104.004114,30.962684,直销配送中心,万护路,四川省,成都市,,生活服务;物流速递;物流速递
104.118477,30.937872,昌海商贸仓储中心,[],四川省,成都市,,生活服务;物流速递;物流仓储场地
103.866275,31.048214,京东快递成都隆丰营业部,隆裕街,四川省,成都市,,生活服务;物流速递;物流速递
103.947075,30.943762,龙翔伞四川省配送中心,[],四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.927434,30.979674,壹米滴答,[],四川省,成都市,,生活服务;物流速递;物流速递
